 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)     T (MeV)  mu_b (MeV)  mu_s (MeV)    
   0.0054786263   0.0012779006    0.0814039377   0.0000000000   83.00000     0.00000     0.00000
   0.0058430074   0.0013614700    0.0857675889   0.0000000000   84.00000     0.00000     0.00000
   0.0062286365   0.0014495023    0.0903310452   0.0000000000   85.00000     0.00000     0.00000
   0.0066366854   0.0015422017    0.0951033385   0.0000000000   86.00000     0.00000     0.00000
   0.0070683916   0.0016397818    0.1000939463   0.0000000000   87.00000     0.00000     0.00000
   0.0075250618   0.0017424657    0.1053128122   0.0000000000   88.00000     0.00000     0.00000
   0.0080080758   0.0018504870    0.1107703683   0.0000000000   89.00000     0.00000     0.00000
   0.0085188905   0.0019640896    0.1164775573   0.0000000000   90.00000     0.00000     0.00000
   0.0090590438   0.0020835291    0.1224458559   0.0000000000   91.00000     0.00000     0.00000
   0.0096301591   0.0022090724    0.1286872990   0.0000000000   92.00000     0.00000     0.00000
   0.0102339500   0.0023409989    0.1352145050   0.0000000000   93.00000     0.00000     0.00000
   0.0108722249   0.0024796010    0.1420407013   0.0000000000   94.00000     0.00000     0.00000
   0.0115468918   0.0026251846    0.1491797512   0.0000000000   95.00000     0.00000     0.00000
   0.0122599638   0.0027780697    0.1566461815   0.0000000000   96.00000     0.00000     0.00000
   0.0130135643   0.0029385912    0.1644552110   0.0000000000   97.00000     0.00000     0.00000
   0.0138099328   0.0031070996    0.1726227799   0.0000000000   98.00000     0.00000     0.00000
   0.0146514306   0.0032839618    0.1811655796   0.0000000000   99.00000     0.00000     0.00000
   0.0155405468   0.0034695616    0.1901010841   0.0000000000  100.00000     0.00000     0.00000
   0.0164799049   0.0036643009    0.1994475820   0.0000000000  101.00000     0.00000     0.00000
   0.0174722692   0.0038686001    0.2092242089   0.0000000000  102.00000     0.00000     0.00000
   0.0185205517   0.0040828994    0.2194509812   0.0000000000  103.00000     0.00000     0.00000
   0.0196278193   0.0043076591    0.2301488305   0.0000000000  104.00000     0.00000     0.00000
   0.0207973008   0.0045433613    0.2413396390   0.0000000000  105.00000     0.00000     0.00000
   0.0220323949   0.0047905103    0.2530462752   0.0000000000  106.00000     0.00000     0.00000
   0.0233366777   0.0050496338    0.2652926309   0.0000000000  107.00000     0.00000     0.00000
   0.0247139114   0.0053212838    0.2781036591   0.0000000000  108.00000     0.00000     0.00000
   0.0261680519   0.0056060380    0.2915054118   0.0000000000  109.00000     0.00000     0.00000
   0.0277032582   0.0059045005    0.3055250794   0.0000000000  110.00000     0.00000     0.00000
   0.0293239009   0.0062173035    0.3201910305   0.0000000000  111.00000     0.00000     0.00000
   0.0310345716   0.0065451079    0.3355328523   0.0000000000  112.00000     0.00000     0.00000
   0.0328400925   0.0068886048    0.3515813914   0.0000000000  113.00000     0.00000     0.00000
   0.0347455258   0.0072485169    0.3683687959   0.0000000000  114.00000     0.00000     0.00000
   0.0367561844   0.0076255998    0.3859285578   0.0000000000  115.00000     0.00000     0.00000
   0.0388776413   0.0080206431    0.4042955551   0.0000000000  116.00000     0.00000     0.00000
   0.0411157412   0.0084344720    0.4235060959   0.0000000000  117.00000     0.00000     0.00000
   0.0434766105   0.0088679490    0.4435979623   0.0000000000  118.00000     0.00000     0.00000
   0.0459666692   0.0093219748    0.4646104538   0.0000000000  119.00000     0.00000     0.00000
   0.0485926416   0.0097974904    0.4865844331   0.0000000000  120.00000     0.00000     0.00000
   0.0513615686   0.0102954783    0.5095623706   0.0000000000  121.00000     0.00000     0.00000
   0.0542808191   0.0108169644    0.5335883897   0.0000000000  122.00000     0.00000     0.00000
   0.0573581028   0.0113630197    0.5587083130   0.0000000000  123.00000     0.00000     0.00000
   0.0606014823   0.0119347615    0.5849697078   0.0000000000  124.00000     0.00000     0.00000
   0.0640193856   0.0125333560    0.6124219326   0.0000000000  125.00000     0.00000     0.00000
   0.0676206197   0.0131600193    0.6411161831   0.0000000000  126.00000     0.00000     0.00000
   0.0714143835   0.0138160200    0.6711055393   0.0000000000  127.00000     0.00000     0.00000
   0.0754102810   0.0145026804    0.7024450111   0.0000000000  128.00000     0.00000     0.00000
   0.0796183356   0.0152213790    0.7351915860   0.0000000000  129.00000     0.00000     0.00000
   0.0840490035   0.0159735522    0.7694042746   0.0000000000  130.00000     0.00000     0.00000
   0.0887131882   0.0167606966    0.8051441583   0.0000000000  131.00000     0.00000     0.00000
   0.0936222548   0.0175843706    0.8424744347   0.0000000000  132.00000     0.00000     0.00000
   0.0987880445   0.0184461973    0.8814604647   0.0000000000  133.00000     0.00000     0.00000
   0.1042228897   0.0193478659    0.9221698184   0.0000000000  134.00000     0.00000     0.00000
   0.1099396288   0.0202911346    0.9646723211   0.0000000000  135.00000     0.00000     0.00000
   0.1159516212   0.0212778323    1.0090400990   0.0000000000  136.00000     0.00000     0.00000
   0.1222727632   0.0223098613    1.0553476244   0.0000000000  137.00000     0.00000     0.00000
   0.1289175034   0.0233891997    1.1036717613   0.0000000000  138.00000     0.00000     0.00000
   0.1359008582   0.0245179034    1.1540918100   0.0000000000  139.00000     0.00000     0.00000
   0.1432384280   0.0256981091    1.2066895510   0.0000000000  140.00000     0.00000     0.00000
   0.1509464133   0.0269320364    1.2615492889   0.0000000000  141.00000     0.00000     0.00000
   0.1590416307   0.0282219906    1.3187578963   0.0000000000  142.00000     0.00000     0.00000
   0.1675415295   0.0295703649    1.3784048564   0.0000000000  143.00000     0.00000     0.00000
   0.1764642082   0.0309796437    1.4405823048   0.0000000000  144.00000     0.00000     0.00000
   0.1858284309   0.0324524046    1.5053850720   0.0000000000  145.00000     0.00000     0.00000
   0.1956536443   0.0339913214    1.5729107237   0.0000000000  146.00000     0.00000     0.00000
   0.2059599945   0.0355991670    1.6432596018   0.0000000000  147.00000     0.00000     0.00000
   0.2167683439   0.0372788160    1.7165348640   0.0000000000  148.00000     0.00000     0.00000
   0.2281002884   0.0390332474    1.7928425221   0.0000000000  149.00000     0.00000     0.00000
   0.2399781742   0.0408655480    1.8722914814   0.0000000000  150.00000     0.00000     0.00000
   0.2524251155   0.0427789147    1.9549935774   0.0000000000  151.00000     0.00000     0.00000
   0.2654650114   0.0447766577    2.0410636125   0.0000000000  152.00000     0.00000     0.00000
   0.2791225633   0.0468622037    2.1306193922   0.0000000000  153.00000     0.00000     0.00000
   0.2934232924   0.0490390986    2.2237817598   0.0000000000  154.00000     0.00000     0.00000
   0.3083935571   0.0513110106    2.3206746304   0.0000000000  155.00000     0.00000     0.00000
   0.3240605703   0.0536817335    2.4214250245   0.0000000000  156.00000     0.00000     0.00000
   0.3404524169   0.0561551898    2.5261631000   0.0000000000  157.00000     0.00000     0.00000
   0.3575980717   0.0587354333    2.6350221836   0.0000000000  158.00000     0.00000     0.00000
   0.3755274163   0.0614266532    2.7481388013   0.0000000000  159.00000     0.00000     0.00000
   0.3942712567   0.0642331765    2.8656527079   0.0000000000  160.00000     0.00000     0.00000
   0.4138613415   0.0671594719    2.9877069151   0.0000000000  161.00000     0.00000     0.00000
   0.4343303781   0.0702101524    3.1144477191   0.0000000000  162.00000     0.00000     0.00000
   0.4557120514   0.0733899792    3.2460247276   0.0000000000  163.00000     0.00000     0.00000
   0.4780410403   0.0767038647    3.3825908842   0.0000000000  164.00000     0.00000     0.00000
   0.5013530355   0.0801568760    3.5243024938   0.0000000000  165.00000     0.00000     0.00000
   0.5256847568   0.0837542379    3.6713192452   0.0000000000  166.00000     0.00000     0.00000
   0.5510739700   0.0875013370    3.8238042338   0.0000000000  167.00000     0.00000     0.00000
   0.5775595046   0.0914037244    3.9819239827   0.0000000000  168.00000     0.00000     0.00000
   0.6051812705   0.0954671197    4.1458484629   0.0000000000  169.00000     0.00000     0.00000
   0.6339802752   0.0996974139    4.3157511123   0.0000000000  170.00000     0.00000     0.00000
   0.6639986407   0.1041006734    4.4918088542   0.0000000000  171.00000     0.00000     0.00000
   0.6952796203   0.1086831432    4.6742021136   0.0000000000  172.00000     0.00000     0.00000
   0.7278676157   0.1134512506    4.8631148338   0.0000000000  173.00000     0.00000     0.00000
   0.7618081931   0.1184116083    5.0587344909   0.0000000000  174.00000     0.00000     0.00000
   0.7971481001   0.1235710186    5.2612521070   0.0000000000  175.00000     0.00000     0.00000
   0.8339352821   0.1289364764    5.4708622641   0.0000000000  176.00000     0.00000     0.00000
   0.8722188983   0.1345151731    5.6877631150   0.0000000000  177.00000     0.00000     0.00000
   0.9120493382   0.1403144999    5.9121563936   0.0000000000  178.00000     0.00000     0.00000
   0.9534782376   0.1463420515    6.1442474254   0.0000000000  179.00000     0.00000     0.00000
   0.9965584943   0.1526056300    6.3842451347   0.0000000000  180.00000     0.00000     0.00000
   1.0413442838   0.1591132479    6.6323620534   0.0000000000  181.00000     0.00000     0.00000
   1.0878910751   0.1658731322    6.8888143259   0.0000000000  182.00000     0.00000     0.00000
   1.1362556461   0.1728937279    7.1538217157   0.0000000000  183.00000     0.00000     0.00000
   1.1864956684   0.1801837014    7.4276052707   0.0000000000  184.00000     0.00000     0.00000
   1.2385829666   0.1877517985    7.7099176492   0.0000000000  185.00000     0.00000     0.00000
   1.2923170612   0.1956059863    7.9995862769   0.0000000000  186.00000     0.00000     0.00000
   1.3475079376   0.2037530551    8.2955133302   0.0000000000  187.00000     0.00000     0.00000
   1.4039975479   0.2121987941    8.5967890532   0.0000000000  188.00000     0.00000     0.00000
   1.4616549157   0.2209481641    8.9026617976   0.0000000000  189.00000     0.00000     0.00000
   1.5203719975   0.2300054426    9.2125128425   0.0000000000  190.00000     0.00000     0.00000
   1.5800601807   0.2393743458    9.5258352174   0.0000000000  191.00000     0.00000     0.00000
   1.6406473177   0.2490581316    9.8422158817   0.0000000000  192.00000     0.00000     0.00000
   1.7020752142   0.2590596849   10.1613207211   0.0000000000  193.00000     0.00000     0.00000
   1.7642974990   0.2693815912   10.4828819083   0.0000000000  194.00000     0.00000     0.00000
   1.8272778179   0.2800261963   10.8066872522   0.0000000000  195.00000     0.00000     0.00000
   1.8909883005   0.2909956581   11.1325712175   0.0000000000  196.00000     0.00000     0.00000
   1.9554082592   0.3022919891   11.4604073516   0.0000000000  197.00000     0.00000     0.00000
   2.0205230835   0.3139170920   11.7901018962   0.0000000000  198.00000     0.00000     0.00000
   2.0863233010   0.3258727899   12.1215883969   0.0000000000  199.00000     0.00000     0.00000
   2.1528037795   0.3381608513   12.4548231543   0.0000000000  200.00000     0.00000     0.00000
   2.2199630481   0.3507830106   12.7897813865   0.0000000000  201.00000     0.00000     0.00000
   2.2878027206   0.3637409854   13.1264539899   0.0000000000  202.00000     0.00000     0.00000
   2.3563270048   0.3770364912   13.4648448075   0.0000000000  203.00000     0.00000     0.00000
   2.4255422857   0.3906712525   13.8049683242   0.0000000000  204.00000     0.00000     0.00000
   2.4954567706   0.4046470130   14.1468477251   0.0000000000  205.00000     0.00000     0.00000
   2.5660801880   0.4189655433   14.4905132584   0.0000000000  206.00000     0.00000     0.00000
   2.6374235309   0.4336286469   14.8360008587   0.0000000000  207.00000     0.00000     0.00000
   2.7094988398   0.4486381658   15.1833509882   0.0000000000  208.00000     0.00000     0.00000
   2.7823190174   0.4639959843   15.5326076639   0.0000000000  209.00000     0.00000     0.00000
   2.8558976725   0.4797040322   15.8838176415   0.0000000000  210.00000     0.00000     0.00000
   2.9302489867   0.4957642870   16.2370297329   0.0000000000  211.00000     0.00000     0.00000
   3.0053876021   0.5121787758   16.5922942351   0.0000000000  212.00000     0.00000     0.00000
   3.0813285263   0.5289495767   16.9496624554   0.0000000000  213.00000     0.00000     0.00000
   3.1580870526   0.5460788192   17.3091863169   0.0000000000  214.00000     0.00000     0.00000
   3.2356786916   0.5635686852   17.6709180318   0.0000000000  215.00000     0.00000     0.00000
   3.3141191153   0.5814214087   18.0349098331   0.0000000000  216.00000     0.00000     0.00000
   3.3934241091   0.5996392756   18.4012137546   0.0000000000  217.00000     0.00000     0.00000
   3.4736095324   0.6182246241   18.7698814520   0.0000000000  218.00000     0.00000     0.00000
   3.5546912856   0.6371798435   19.1409640596   0.0000000000  219.00000     0.00000     0.00000
   3.6366852825   0.6565073740   19.5145120749   0.0000000000  220.00000     0.00000     0.00000
   3.7196074285   0.6762097060   19.8905752694   0.0000000000  221.00000     0.00000     0.00000
   3.8034736021   0.6962893793   20.2692026188   0.0000000000  222.00000     0.00000     0.00000
   3.8882996400   0.7167489821   20.6504422516   0.0000000000  223.00000     0.00000     0.00000
   3.9741013258   0.7375911503   21.0343414113   0.0000000000  224.00000     0.00000     0.00000
   4.0608943803   0.7588185668   21.4209464318   0.0000000000  225.00000     0.00000     0.00000
   4.1486944549   0.7804339603   21.8103027221   0.0000000000  226.00000     0.00000     0.00000
   4.2375171261   0.8024401042   22.2024547593   0.0000000000  227.00000     0.00000     0.00000
   4.3273778921   0.8248398162   22.5974460892   0.0000000000  228.00000     0.00000     0.00000
   4.4182921699   0.8476359570   22.9953193318   0.0000000000  229.00000     0.00000     0.00000
   4.5102752946   0.8708314295   23.3961161916   0.0000000000  230.00000     0.00000     0.00000
   4.6033425185   0.8944291776   23.7998774722   0.0000000000  231.00000     0.00000     0.00000
   4.6975090116   0.9184321859   24.2066430925   0.0000000000  232.00000     0.00000     0.00000
   4.7927898626   0.9428434782   24.6164521067   0.0000000000  233.00000     0.00000     0.00000
   4.8892000803   0.9676661173   25.0293427248   0.0000000000  234.00000     0.00000     0.00000
   4.9867545955   0.9929032034   25.4453523355   0.0000000000  235.00000     0.00000     0.00000
   5.0854682630   1.0185578738   25.8645175289   0.0000000000  236.00000     0.00000     0.00000
   5.1853558645   1.0446333022   26.2868741211   0.0000000000  237.00000     0.00000     0.00000
   5.2864321108   1.0711326976   26.7124571780   0.0000000000  238.00000     0.00000     0.00000
   5.3887116451   1.0980593035   27.1413010401   0.0000000000  239.00000     0.00000     0.00000
   5.4922090454   1.1254163978   27.5734393465   0.0000000000  240.00000     0.00000     0.00000
   5.5969388280   1.1532072914   28.0089050597   0.0000000000  241.00000     0.00000     0.00000
   5.7029154505   1.1814353278   28.4477304891   0.0000000000  242.00000     0.00000     0.00000
   5.8101533147   1.2101038828   28.8899473146   0.0000000000  243.00000     0.00000     0.00000
   5.9186667696   1.2392163633   29.3355866101   0.0000000000  244.00000     0.00000     0.00000
   6.0284701150   1.2687762070   29.7846788656   0.0000000000  245.00000     0.00000     0.00000
   6.1395776043   1.2987868820   30.2372540092   0.0000000000  246.00000     0.00000     0.00000
   6.2520034471   1.3292518858   30.6933414289   0.0000000000  247.00000     0.00000     0.00000
   6.3657618130   1.3601747452   31.1529699930   0.0000000000  248.00000     0.00000     0.00000
   6.4808668339   1.3915590156   31.6161680704   0.0000000000  249.00000     0.00000     0.00000
   6.5973326070   1.4234082805   32.0829635500   0.0000000000  250.00000     0.00000     0.00000
   6.7151731977   1.4557261510   32.5533838593   0.0000000000  251.00000     0.00000     0.00000
   6.8344026422   1.4885162655   33.0274559830   0.0000000000  252.00000     0.00000     0.00000
   6.9550349504   1.5217822891   33.5052064802   0.0000000000  253.00000     0.00000     0.00000
   7.0770841080   1.5555279133   33.9866615011   0.0000000000  254.00000     0.00000     0.00000
   7.2005640794   1.5897568555   34.4718468038   0.0000000000  255.00000     0.00000     0.00000
   7.3254888101   1.6244728588   34.9607877692   0.0000000000  256.00000     0.00000     0.00000
   7.4518722288   1.6596796913   35.4535094168   0.0000000000  257.00000     0.00000     0.00000
   7.5797282499   1.6953811461   35.9500364185   0.0000000000  258.00000     0.00000     0.00000
   7.7090707754   1.7315810407   36.4503931125   0.0000000000  259.00000     0.00000     0.00000
   7.8399136976   1.7682832169   36.9546035173   0.0000000000  260.00000     0.00000     0.00000
   7.9722709004   1.8054915402   37.4626913435   0.0000000000  261.00000     0.00000     0.00000
   8.1061562619   1.8432098999   37.9746800068   0.0000000000  262.00000     0.00000     0.00000
   8.2415836560   1.8814422082   38.4905926395   0.0000000000  263.00000     0.00000     0.00000
   8.3785669541   1.9201924008   39.0104521018   0.0000000000  264.00000     0.00000     0.00000
   8.5171200274   1.9594644356   39.5342809925   0.0000000000  265.00000     0.00000     0.00000
   8.6572567481   1.9992622933   40.0621016596   0.0000000000  266.00000     0.00000     0.00000
   8.7989909913   2.0395899769   40.5939362103   0.0000000000  267.00000     0.00000     0.00000
   8.9423366364   2.0804515110   41.1298065202   0.0000000000  268.00000     0.00000     0.00000
   9.0873075689   2.1218509424   41.6697342427   0.0000000000  269.00000     0.00000     0.00000
   9.2339176816   2.1637923391   42.2137408176   0.0000000000  270.00000     0.00000     0.00000
   9.3821808764   2.2062797907   42.7618474800   0.0000000000  271.00000     0.00000     0.00000
   9.5321110650   2.2493174078   43.3140752674   0.0000000000  272.00000     0.00000     0.00000
   9.6837221709   2.2929093219   43.8704450286   0.0000000000  273.00000     0.00000     0.00000
   9.8370281304   2.3370596854   44.4309774300   0.0000000000  274.00000     0.00000     0.00000
   9.9920428938   2.3817726711   44.9956929634   0.0000000000  275.00000     0.00000     0.00000
  10.1487804264   2.4270524725   45.5646119525   0.0000000000  276.00000     0.00000     0.00000
  10.3072547101   2.4729033029   46.1377545598   0.0000000000  277.00000     0.00000     0.00000
  10.4674797441   2.5193293961   46.7151407921   0.0000000000  278.00000     0.00000     0.00000
  10.6294695458   2.5663350057   47.2967905072   0.0000000000  279.00000     0.00000     0.00000
  10.7932381525   2.6139244049   47.8827234194   0.0000000000  280.00000     0.00000     0.00000
  10.9587996217   2.6621018868   48.4729591049   0.0000000000  281.00000     0.00000     0.00000
  11.1261680322   2.7108717638   49.0675170072   0.0000000000  282.00000     0.00000     0.00000
  11.2953574852   2.7602383680   49.6664164422   0.0000000000  283.00000     0.00000     0.00000
  11.4663821049   2.8102060503   50.2696766028   0.0000000000  284.00000     0.00000     0.00000
  11.6392560397   2.8607791811   50.8773165641   0.0000000000  285.00000     0.00000     0.00000
  11.8139934624   2.9119621497   51.4893552871   0.0000000000  286.00000     0.00000     0.00000
  11.9906085718   2.9637593642   52.1058116236   0.0000000000  287.00000     0.00000     0.00000
  12.1691155925   3.0161752517   52.7267043203   0.0000000000  288.00000     0.00000     0.00000
  12.3495287766   3.0692142579   53.3520520222   0.0000000000  289.00000     0.00000     0.00000
  12.5318624034   3.1228808469   53.9818732770   0.0000000000  290.00000     0.00000     0.00000
  12.7161307809   3.1771795018   54.6161865384   0.0000000000  291.00000     0.00000     0.00000
  12.9023482460   3.2321147235   55.2550101696   0.0000000000  292.00000     0.00000     0.00000
  13.0905291653   3.2876910316   55.8983624468   0.0000000000  293.00000     0.00000     0.00000
  13.2806879353   3.3439129640   56.5462615623   0.0000000000  294.00000     0.00000     0.00000
  13.4728389837   3.4007850764   57.1987256276   0.0000000000  295.00000     0.00000     0.00000
  13.6669967693   3.4583119429   57.8557726764   0.0000000000  296.00000     0.00000     0.00000
  13.8631757828   3.5164981554   58.5174206674   0.0000000000  297.00000     0.00000     0.00000
  14.0613905473   3.5753483238   59.1836874870   0.0000000000  298.00000     0.00000     0.00000
  14.2616556187   3.6348670759   59.8545909521   0.0000000000  299.00000     0.00000     0.00000
  14.4639855865   3.6950590572   60.5301488123   0.0000000000  300.00000     0.00000     0.00000
  14.6683950737   3.7559289309   61.2103787527   0.0000000000  301.00000     0.00000     0.00000
  14.8748987377   3.8174813780   61.8952983961   0.0000000000  302.00000     0.00000     0.00000
  15.0835112706   3.8797210968   62.5849253048   0.0000000000  303.00000     0.00000     0.00000
  15.2942473995   3.9426528035   63.2792769836   0.0000000000  304.00000     0.00000     0.00000
  15.5071218872   4.0062812315   63.9783708811   0.0000000000  305.00000     0.00000     0.00000
  15.7221495322   4.0706111318   64.6822243921   0.0000000000  306.00000     0.00000     0.00000
  15.9393451692   4.1356472726   65.3908548594   0.0000000000  307.00000     0.00000     0.00000
  16.1587236697   4.2013944396   66.1042795755   0.0000000000  308.00000     0.00000     0.00000
  16.3802999419   4.2678574356   66.8225157847   0.0000000000  309.00000     0.00000     0.00000
  16.6040889314   4.3350410807   67.5455806844   0.0000000000  310.00000     0.00000     0.00000
  16.8301056216   4.4029502123   68.2734914272   0.0000000000  311.00000     0.00000     0.00000
  17.0583650334   4.4715896846   69.0062651218   0.0000000000  312.00000     0.00000     0.00000
  17.2888822263   4.5409643692   69.7439188354   0.0000000000  313.00000     0.00000     0.00000
  17.5216722980   4.6110791546   70.4864695942   0.0000000000  314.00000     0.00000     0.00000
  17.7567503851   4.6819389464   71.2339343855   0.0000000000  315.00000     0.00000     0.00000
  17.9941316632   4.7535486670   71.9863301590   0.0000000000  316.00000     0.00000     0.00000
  18.2338313473   4.8259132560   72.7436738275   0.0000000000  317.00000     0.00000     0.00000
  18.4758646919   4.8990376696   73.5059822689   0.0000000000  318.00000     0.00000     0.00000
  18.7202469912   4.9729268811   74.2732723269   0.0000000000  319.00000     0.00000     0.00000
  18.9669935796   5.0475858804   75.0455608125   0.0000000000  320.00000     0.00000     0.00000
  19.2161198316   5.1230196744   75.8228645047   0.0000000000  321.00000     0.00000     0.00000
  19.4676411622   5.1992332867   76.6052001519   0.0000000000  322.00000     0.00000     0.00000
  19.7215730272   5.2762317576   77.3925844731   0.0000000000  323.00000     0.00000     0.00000
  19.9779309231   5.3540201441   78.1850341582   0.0000000000  324.00000     0.00000     0.00000
  20.2367303878   5.4326035199   78.9825658699   0.0000000000  325.00000     0.00000     0.00000
  20.4979870000   5.5119869754   79.7851962436   0.0000000000  326.00000     0.00000     0.00000
  20.7617163803   5.5921756175   80.5929418893   0.0000000000  327.00000     0.00000     0.00000
  21.0279341907   5.6731745698   81.4058193917   0.0000000000  328.00000     0.00000     0.00000
  21.2966561350   5.7549889724   82.2238453115   0.0000000000  329.00000     0.00000     0.00000
  21.5678979592   5.8376239821   83.0470361858   0.0000000000  330.00000     0.00000     0.00000
  21.8416754512   5.9210847720   83.8754085293   0.0000000000  331.00000     0.00000     0.00000
  22.1180044413   6.0053765318   84.7089788346   0.0000000000  332.00000     0.00000     0.00000
  22.3969008022   6.0905044678   85.5477635734   0.0000000000  333.00000     0.00000     0.00000
  22.6783804491   6.1764738026   86.3917791967   0.0000000000  334.00000     0.00000     0.00000
  22.9624593402   6.2632897753   87.2410421358   0.0000000000  335.00000     0.00000     0.00000
  23.2491534763   6.3509576414   88.0955688029   0.0000000000  336.00000     0.00000     0.00000
  23.5384789014   6.4394826729   88.9553755915   0.0000000000  337.00000     0.00000     0.00000
  23.8304517024   6.5288701581   89.8204788772   0.0000000000  338.00000     0.00000     0.00000
  24.1250880096   6.6191254016   90.6908950184   0.0000000000  339.00000     0.00000     0.00000
  24.4224039967   6.7102537245   91.5666403565   0.0000000000  340.00000     0.00000     0.00000
  24.7224158807   6.8022604642   92.4477312167   0.0000000000  341.00000     0.00000     0.00000
  25.0251399224   6.8951509743   93.3341839084   0.0000000000  342.00000     0.00000     0.00000
  25.3305924262   6.9889306247   94.2260147259   0.0000000000  343.00000     0.00000     0.00000
  25.6387897404   7.0836048018   95.1232399485   0.0000000000  344.00000     0.00000     0.00000
  25.9497482571   7.1791789082   96.0258758413   0.0000000000  345.00000     0.00000     0.00000
  26.2634844124   7.2756583625   96.9339386557   0.0000000000  346.00000     0.00000     0.00000
  26.5800146866   7.3730485999   97.8474446295   0.0000000000  347.00000     0.00000     0.00000
  26.8993556041   7.4713550716   98.7664099874   0.0000000000  348.00000     0.00000     0.00000
  27.2215237337   7.5705832450   99.6908509419   0.0000000000  349.00000     0.00000     0.00000
  27.5465356885   7.6707386040  100.6207836929   0.0000000000  350.00000     0.00000     0.00000
  27.8744081260   7.7718266484  101.5562244287   0.0000000000  351.00000     0.00000     0.00000
  28.2051577485   7.8738528943  102.4971893260   0.0000000000  352.00000     0.00000     0.00000
  28.5388013025   7.9768228739  103.4436945506   0.0000000000  353.00000     0.00000     0.00000
  28.8753555796   8.0807421355  104.3957562575   0.0000000000  354.00000     0.00000     0.00000
  29.2148374159   8.1856162439  105.3533905910   0.0000000000  355.00000     0.00000     0.00000
  29.5572636924   8.2914507796  106.3166136856   0.0000000000  356.00000     0.00000     0.00000
  29.9026513352   8.3982513396  107.2854416659   0.0000000000  357.00000     0.00000     0.00000
  30.2510173150   8.5060235366  108.2598906471   0.0000000000  358.00000     0.00000     0.00000
  30.6023786479   8.6147729999  109.2399767349   0.0000000000  359.00000     0.00000     0.00000
  30.9567523950   8.7245053745  110.2257160264   0.0000000000  360.00000     0.00000     0.00000
  31.3141556625   8.8352263217  111.2171246099   0.0000000000  361.00000     0.00000     0.00000
  31.6746056017   8.9469415189  112.2142185652   0.0000000000  362.00000     0.00000     0.00000
  32.0381194096   9.0596566593  113.2170139641   0.0000000000  363.00000     0.00000     0.00000
