     8211 Pion 1300 (+)         0.4932500124
     8111 Pion 1300 (0)         0.4932500124
    -8211 Pion 1300 (-)         0.4932500124
24     3322 Xsi (0)            100000000.0     Stable  
25    -3322 Anti Xsi (0)       100000000.0     Stable  
26     3312 Xsi (-)            100000000.0     Stable  
27    -3312 Anti Xsi (-)       100000000.0     Stable  
      215 a2 1320 (+)           1.8439252377
      115 a2 1320 (0)           1.8439252377
     -215 a2 1320 (-)           1.8439252377
     9213 Pion1 1400 (+)        0.6576666236
     9113 Pion1 1400 (0)        0.6576666236
    -9213 Pion1 1400 (-)        0.6576666236
     3224 Sigma (+) 1385        5.5111732483
    -3224 Anti Sigma (+) 1385   5.5111732483
     3214 Sigma (0) 1385        5.4805560112
    -3214 Anti Sigma (0) 1385   5.4805560112
     3114 Sigma (-) 1385        5.0076141357
    -3114 Anti Sigma (-) 1385   5.0076141357
    10221 f0 1370               0.8768889308
    20323 K1 1400 (+)           1.1339080334
   -20323 K1 1400 (-)           1.1339080334
    20313 K1 1400 (0)           1.1339080334
   -20313 Anti K1 1400 (0)      1.1339080334
    13122 Lambda 1405           3.9460000992
   -13122 Anti Lambda 1405      3.9460000992
     8323 K* 1410 (+)           0.8504310846
    -8323 K* 1410 (-)           0.8504310846
     8313 K* 1410 (0)           0.8504310846
    -8313 Anti K* 1410 (-)      0.8504310846
    29221 eta 1405              3.8686275482
    10321 K0* 1430 (+)          0.6710884571
   -10321 K0* 1430 (-)          0.6710884571
    10311 K0* 1430 (0)          0.6710884571
   -10311 Anti K0* 1430 (0)     0.6710884571
     8223 omega 1420            1.1339080334
    20333 f1 1420               3.5938067436
      325 K2* 1430 (+)          2.0030457973
     -325 K2* 1430 (-)          2.0030457973
      315 K2* 1430 (0)          1.8100918531
     -315 Anti K2* 1430 (0)     1.8100918531
    12212 p 1440                0.5637143254
   -12212 Anti p 1440           0.5637143254
    12112 n 1440                0.5637143254
   -12112 Anti n 1440           0.5637143254
     8213 rho  1450 (+)         0.4932500124
     8113 rho  1450 (0)         0.4932500124
    -8213 rho  1450 (-)         0.4932500124
    10211 a0 1450 (+)           0.7445283532
    10111 a0 1450 (0)           0.7445283532
   -10211 a0 1450 (-)           0.7445283532
     8331 eta 1475              2.2678160667
    39221 f0 1500               1.8100918531
28     3124 Lambda 1520        12.64743614     ********
29    -3124 Anti Lambda 1520   12.64743614     ********
     2124 p 1520                1.7156521082
    -2124 Anti p 1520           1.7156521082
     1214 n 1520                1.7156521082
    -1214 Anti n 1520           1.7156521082
      335 f2 prime 1525         2.7027397156
30     3324 Xsi (0) 1530       21.68131828     ********
31    -3324 Anti Xsi (0) 1530  21.68131828     ********
32     3314 Xsi (-) 1530       19.92929268     ********
33    -3314 Anti Xsi (-) 1530  19.92929268     ********
    22212 p 1535                1.3153332472
   -22212 Anti p 1535           1.3153332472
    22112 n 1535                1.3153332472
   -22112 Anti n 1535           1.3153332472
    32224 Delta 1600 (++)       0.5637143254
   -32224 Anti Delta 1600 (++   0.5637143254
    32214 Delta 1600 (+)        0.5637143254
   -32214 Anti Delta 1600 (+)   0.5637143254
    32114 Delta 1600 (0)        0.5637143254
   -32114 Anti Delta 1600 (0)   0.5637143254
    31114 Delta 1600 (-)        0.5637143254
   -31114 Anti Delta 1600 (-)   0.5637143254
    23122 Lambda 1600           1.3153332472
   -23122 Anti Lambda 1600      1.3153332472
    10225 eta2 1645             1.0900553465
     2222 Delta 1620 (++)       1.3606897593
    -2222 Anti Delta 1620 (++   1.3606897593
     2122 Delta 1620 (+)        1.3606897593
    -2122 Anti Delta 1620 (+)   1.3606897593
     1212 Delta 1620 (0)        1.3606897593
    -1212 Anti Delta 1620 (0)   1.3606897593
     1112 Delta 1620 (-)        1.3606897593
    -1112 Anti Delta 1620 (-)   1.3606897593
    19213 Pion1 1600 (+)        0.8768889308
    19113 Pion1 1600 (0)        0.8768889308
   -19213 Pion1 1600 (-)        0.8768889308
    32212 p 1650                1.1957575083
   -32212 Anti p 1650           1.1957575083
    32112 n 1650                1.1957575083
   -32112 Anti n 1650           1.1957575083
    13222 Sigma (+) 1660        1.9730000496
   -13222 Anti Sigma (+) 1660   1.9730000496
    13212 Sigma (0) 1660        1.9730000496
   -13212 Anti Sigma (0) 1660   1.9730000496
    13112 Sigma (-) 1660        1.9730000496
   -13112 Anti Sigma (-) 1660   1.9730000496
    30223 omega 1650            0.6263492107
      227 omega3 1670           1.1744047403
    33122 Lambda 1670           5.6371426582
   -33122 Anti Lambda 1670      5.6371426582
    13224 Sigma (+) 1670        3.2883334160
   -13224 Anti Sigma (+) 1670   3.2883334160
    13214 Sigma (0) 1670        3.2883334160
   -13214 Anti Sigma (0) 1670   3.2883334160
    13114 Sigma (-) 1670        3.2883334160
   -13114 Anti Sigma (-) 1670   3.2883334160
    10215 Pion2 1670  (+)       0.7617760301
    10115 Pion2 1670  (0)       0.7617760301
   -10215 Pion2 1670  (-)       0.7617760301
34     3334 Omega              100000000.0     Stable  
35    -3334 Anti Omega         100000000.0     Stable  
     2216 p 1675                1.3153332472
    -2216 Anti p 1675           1.3153332472
     2116 n 1675                1.3153332472
    -2116 Anti n 1675           1.3153332472
     8333 phi 1680              1.3153332472
    12216 p 1680                1.5176923275
   -12216 Anti p 1680           1.5176923275
    12116 n 1680                1.5176923275
   -12116 Anti n 1680           1.5176923275
      217 rho3 1690 (+)         1.2254658937
      117 rho3 1690 (0)         1.2254658937
     -217 rho3 1690 (-)         1.2254658937
    13124 Lambda 1690           3.2883334160
   -13124 Anti Lambda 1690      3.2883334160
    13322 Xsi (0) 1690          7.8920001984
   -13322 Anti Xsi (0) 1690     7.8920001984
    13312 Xsi (-) 1690          7.8920001984
   -13312 Anti Xsi (-) 1690     7.8920001984
    22124 p 1700                1.9730000496
   -22124 Anti p 1700           1.9730000496
    21214 n 1700                1.9730000496
   -21214 Anti n 1700           1.9730000496
    12224 Delta 1700 (++)       0.6576666236
   -12224 Anti Delta 1700 (++   0.6576666236
    12214 Delta 1700 (+)        0.6576666236
   -12214 Anti Delta 1700 (+)   0.6576666236
    12114 Delta 1700 (0)        0.6576666236
   -12114 Anti Delta 1700 (0)   0.6576666236
    11114 Delta 1700 (-)        0.6576666236
   -11114 Anti Delta 1700 (-)   0.6576666236
    42212 p 1710                1.9730000496
   -42212 Anti p 1710           1.9730000496
    42112 n 1710                1.9730000496
   -42112 Anti n 1710           1.9730000496
    10331 f0 1710               1.4297101498
    30323 K* 1680 (+)           0.6127329469
   -30323 K* 1680 (-)           0.6127329469
    30313 K* 1680 (0)           0.6127329469
   -30313 Anti K* 1680 (0)      0.6127329469
    30213 rho 1700  (+)         0.7892000079
    30113 rho 1700  (0)         0.7892000079
   -30213 rho 1700  (-)         0.7892000079
    32124 p 1720                0.9865000248
   -32124 Anti p 1720           0.9865000248
    31214 n 1720                0.9865000248
   -31214 Anti n 1720           0.9865000248
    23222 Sigma (+) 1750        2.1922221184
   -23222 Anti Sigma (+) 1750   2.1922221184
    23212 Sigma (0) 1750        2.1922221184
   -23212 Anti Sigma (0) 1750   2.1922221184
    23112 Sigma (-) 1750        2.1922221184
   -23112 Anti Sigma (-) 1750   2.1922221184
    10325 K2 1770 (+)           1.0607526302
   -10325 K2 1770 (-)           1.0607526302
    10315 K2 1770 (0)           1.0607526302
   -10315 Anti K2 1770 (0)      1.0607526302
     3226 Sigma (+) 1775        1.6441667080
    -3226 Anti Sigma (+) 1775   1.6441667080
     3216 Sigma (0) 1775        1.6441667080
    -3216 Anti Sigma (0) 1775   1.6441667080
     3116 Sigma (-) 1775        1.6441667080
    -3116 Anti Sigma (-) 1775   1.6441667080
      327 K3* 1780 (+)          1.2408806086
     -327 K3* 1780 (-)          1.2408806086
      317 K3* 1780 (0)          1.2408806086
     -317 Anti K3* 1780 (0)     1.2408806086
    43122 Lambda 1800           0.6576666236
   -43122 Anti Lambda 1800      0.6576666236
    53122 Lambda 1810           1.3153332472
   -53122 Anti Lambda 1810      1.3153332472
    19211 Pion 1800 (+)         0.9531400800
    19111 Pion 1800 (0)         0.9531400800
   -19211 Pion 1800 (-)         0.9531400800
    20325 K2 1820 (+)           0.7148550749
   -20325 K2 1820 (-)           0.7148550749
    20315 K2 1820 (0)           0.7148550749
   -20315 Anti K2 1820 (0)      0.7148550749
     3126 Lambda 1820           2.4662501812
    -3126 Anti Lambda 1820      2.4662501812
    13324 Xsi (0) 1820          8.2208337784
   -13324 Anti Xsi (0) 1820     8.2208337784
    13314 Xsi (-) 1820          8.2208337784
   -13314 Anti Xsi (-) 1820     8.2208337784
    13126 Lambda 1830           2.0768420696
   -13126 Anti Lambda 1830      2.0768420696
      337 phi3 1850             2.2678160667
    23124 Lambda 1890           1.9730000496
   -23124 Anti Lambda 1890      1.9730000496
     2226 Delta 1905 (++)       0.5978787541
    -2226 Anti Delta 1905 (++   0.5978787541
     2126 Delta 1905 (+)        0.5978787541
    -2126 Anti Delta 1905 (+)   0.5978787541
     1216 Delta 1905 (0)        0.5978787541
    -1216 Anti Delta 1905 (0)   0.5978787541
     1116 Delta 1905 (-)        0.5978787541
    -1116 Anti Delta 1905 (-)   0.5978787541
    22222 Delta 1910 (++)       0.7892000079
   -22222 Anti Delta 1910 (++   0.7892000079
    22122 Delta 1910 (+)        0.7892000079
   -22122 Anti Delta 1910 (+)   0.7892000079
    21212 Delta 1910 (0)        0.7892000079
   -21212 Anti Delta 1910 (0)   0.7892000079
    21112 Delta 1910 (-)        0.7892000079
   -21112 Anti Delta 1910 (-)   0.7892000079
    13226 Sigma (+) 1915        1.6441667080
   -13226 Anti Sigma (+) 1915   1.6441667080
    13216 Sigma (0) 1915        1.6441667080
   -13216 Anti Sigma (0) 1915   1.6441667080
    13116 Sigma (-) 1915        1.6441667080
   -13116 Anti Sigma (-) 1915   1.6441667080
    22224 Delta 1920 (++)       0.9865000248
   -22224 Anti Delta 1920 (++   0.9865000248
    22214 Delta 1920 (+)        0.9865000248
   -22214 Anti Delta 1920 (+)   0.9865000248
    22114 Delta 1920 (0)        0.9865000248
   -22114 Anti Delta 1920 (0)   0.9865000248
    21114 Delta 1920 (-)        0.9865000248
   -21114 Anti Delta 1920 (-)   0.9865000248
     2228 Delta 1950 (++)       0.6922807097
    -2228 Anti Delta 1950 (++   0.6922807097
     2218 Delta 1950 (+)        0.6922807097
    -2218 Anti Delta 1950 (+)   0.6922807097
     2118 Delta 1950 (0)        0.6922807097
    -2118 Anti Delta 1950 (0)   0.6922807097
     1118 Delta 1950 (-)        0.6922807097
    -1118 Anti Delta 1950 (-)   0.6922807097
    23224 Sigma (+) 1940        0.8968182206
   -23224 Anti Sigma (+) 1940   0.8968182206
    23214 Sigma (0) 1940        0.8968182206
   -23214 Anti Sigma (0) 1940   0.8968182206
    23114 Sigma (-) 1940        0.8968182206
   -23114 Anti Sigma (-) 1940   0.8968182206
    59225 f2 1950               0.4153684378
    23324 Xsi (0) 1950          3.2883334160
   -23324 Anti Xsi (0) 1950     3.2883334160
    23314 Xsi (-) 1950          3.2883334160
   -23314 Anti Xsi (-) 1950     3.2883334160
    12226 Delta 1930 (++)       0.5480555296
   -12226 Anti Delta 1930 (++   0.5480555296
    12126 Delta 1930 (+)        0.5480555296
   -12126 Anti Delta 1930 (+)   0.5480555296
    11216 Delta 1930 (0)        0.5480555296
   -11216 Anti Delta 1930 (0)   0.5480555296
    11116 Delta 1930 (-)        0.5480555296
   -11116 Anti Delta 1930 (-)   0.5480555296
    69225 f2 2010               0.9767326713
    13334 Omega 2250            3.5872728825
   -13334 Anti Omega 2250       3.5872728825
